OrderDate,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
16/03/2022,South,Electronics,Phones,436.14,6,0.53,1229.91
24/07/2019,West,Furniture,Chairs,1336.16,7,0.22,7295.43
19/05/2021,East,Office Supplies,Art,638.72,3,0.13,1667.06
16/10/2020,South,Office Supplies,Art,369.46,6,0.38,1374.39
11/04/2020,East,Furniture,Chairs,682.32,2,0.14,1173.59
01/02/2021,East,Office Supplies,Art,1266.75,4,0.43,2888.19
05/06/2022,North,Furniture,Chairs,1123.64,10,0.45,6180.02
11/07/2020,North,Electronics,Accessories,578.04,7,0.35,2630.08
13/03/2020,South,Office Supplies,Art,803.04,8,0.2,5139.46
05/02/2022,South,Office Supplies,Labels,329.37,8,0.35,1712.72
18/05/2020,South,Electronics,Phones,559.24,1,0.19,452.98
19/02/2020,West,Electronics,Laptops,1059.77,7,0.67,2448.07
17/06/2018,East,Office Supplies,Storage,944.26,7,0.23,5089.56
29/10/2020,South,Electronics,Phones,751.54,5,0.1,3381.93
04/04/2021,North,Office Supplies,Labels,574.19,2,0.16,964.64
12/01/2021,South,Furniture,Bookcases,716.17,3,0.51,1052.77
26/07/2020,South,Electronics,Accessories,868.34,3,0.14,2240.32
23/10/2018,North,Office Supplies,Art,677.84,3,0.2,1626.82
22/09/2018,West,Electronics,Accessories,659.53,1,0.19,534.22
24/11/2021,South,Furniture,Bookcases,372.83,10,0.37,2348.83
20/07/2022,South,Furniture,Chairs,496.93,3,0.27,1088.28
26/08/2021,East,Electronics,Accessories,347.62,7,0.16,2044.01
03/02/2019,North,Office Supplies,Art,964.49,3,0.12,2546.25
06/07/2021,North,Electronics,Accessories,444.63,9,0.46,2160.9
07/01/2022,East,Office Supplies,Storage,758.49,10,0.3,5309.43
26/11/2019,East,Office Supplies,Storage,566.05,8,0.21,3577.44
13/01/2018,North,Furniture,Bookcases,479.27,8,0.35,2492.2
30/05/2021,East,Electronics,Laptops,553.44,6,0.52,1593.91
30/10/2020,North,Electronics,Accessories,754.45,7,0.22,4119.3
31/12/2018,North,Electronics,Phones,341.84,5,0.46,922.97
18/07/2020,South,Office Supplies,Art,928.84,8,0.33,4978.58
18/08/2018,North,Furniture,Tables,771.78,3,0.22,1805.97
17/10/2018,South,Furniture,Bookcases,555.16,4,0.32,1510.04
29/07/2018,South,Office Supplies,Storage,369.28,6,0.16,1861.17
08/11/2022,West,Electronics,Accessories,861.16,10,0.24,6544.82
25/10/2021,East,Furniture,Bookcases,818.92,6,0.24,3734.28
28/05/2018,West,Electronics,Laptops,1009.39,6,0.39,3694.37
31/01/2021,West,Electronics,Laptops,565.87,3,0.5,848.81
14/12/2021,North,Furniture,Tables,790.77,5,0.11,3518.93
03/02/2020,South,Office Supplies,Art,443.13,2,0.19,717.87
06/09/2020,East,Furniture,Chairs,326.62,4,0.64,470.33
18/08/2018,South,Furniture,Bookcases,401.4,10,0.16,3371.76
03/06/2020,South,Furniture,Bookcases,941.13,3,0.1,2541.05
17/08/2019,South,Furniture,Bookcases,740.73,3,0.36,1422.2
10/01/2022,South,Office Supplies,Art,876.48,10,0.33,5872.42
02/04/2020,North,Furniture,Bookcases,777.07,4,0.25,2331.21
10/08/2020,South,Office Supplies,Art,612.79,6,0.03,3566.44
08/10/2019,West,Furniture,Chairs,1540.08,4,0.13,5359.48
07/08/2020,West,Electronics,Phones,692.03,2,0.43,788.91
05/09/2022,South,Office Supplies,Storage,975.51,1,0.19,790.16
25/10/2018,North,Furniture,Chairs,610.5,9,0.4,3296.7
19/05/2022,West,Electronics,Laptops,320.52,1,0.04,307.7
25/10/2020,South,Furniture,Chairs,360.4,2,0.4,432.48
09/05/2021,East,Office Supplies,Labels,951.99,7,0.23,5131.23
11/12/2018,South,Office Supplies,Storage,610.67,4,0.24,1856.44
26/06/2022,East,Office Supplies,Storage,1243.07,3,0.38,2312.11
30/08/2019,North,Electronics,Accessories,534.99,10,0.25,4012.42
14/06/2022,West,Furniture,Bookcases,735.9,7,0.33,3451.37
27/08/2018,West,Office Supplies,Storage,691.39,7,0.2,3871.78
20/07/2020,North,Furniture,Tables,743.58,7,0.2,4164.05
21/02/2020,North,Electronics,Phones,893.96,2,0.23,1376.7
09/04/2020,South,Furniture,Tables,539.65,9,0.73,1311.35
17/12/2019,East,Electronics,Accessories,483.2,6,0.11,2580.29
06/07/2021,South,Furniture,Bookcases,672.53,1,0.57,289.19
10/09/2019,South,Office Supplies,Storage,413.17,3,0.3,867.66
13/02/2018,South,Office Supplies,Storage,859.76,5,0.33,2880.2
05/07/2020,South,Electronics,Accessories,1138.88,2,0.27,1662.76
07/01/2019,North,Electronics,Phones,650.04,9,0.34,3861.24
24/03/2021,South,Furniture,Chairs,900.16,1,0.26,666.12
15/10/2021,North,Electronics,Laptops,691.52,5,0.17,2869.81
24/01/2020,North,Office Supplies,Art,372.52,8,0.22,2324.52
01/11/2018,West,Electronics,Phones,339.13,3,0.23,783.39
03/05/2021,East,Office Supplies,Storage,572.27,9,0.61,2008.67
04/04/2018,East,Office Supplies,Labels,1059.44,6,0.26,4703.91
15/11/2018,South,Furniture,Tables,516.82,2,0.48,537.49
10/11/2021,West,Electronics,Laptops,436.25,6,0.23,2015.48
11/09/2021,West,Furniture,Bookcases,238.04,4,0.09,866.47
25/11/2022,East,Electronics,Laptops,532.28,6,0.33,2139.77
21/07/2019,South,Furniture,Bookcases,491.74,9,0.53,2080.06
06/11/2018,South,Office Supplies,Labels,785.73,2,0.18,1288.6
23/11/2019,North,Electronics,Accessories,759.03,1,0.11,675.54
08/09/2020,North,Electronics,Phones,611.5,4,0.4,1467.6
07/10/2021,East,Electronics,Phones,341.15,9,0.25,2302.76
04/02/2019,North,Furniture,Tables,666.43,8,0.02,5224.81
30/06/2020,North,Furniture,Chairs,532.7,4,0.32,1448.94
10/02/2020,North,Office Supplies,Art,907.1,9,0.42,4735.06
09/03/2022,East,Furniture,Tables,415.29,10,0.45,2284.1
23/03/2020,West,Furniture,Bookcases,454.5,4,0.42,1054.44
19/05/2018,South,Electronics,Accessories,968.48,3,0.27,2120.97
27/06/2018,East,Furniture,Bookcases,753.15,6,0.33,3027.66
26/05/2018,North,Office Supplies,Art,1159.71,8,0.03,8999.35
31/03/2021,East,Office Supplies,Labels,452.96,10,0.5,2264.8
18/06/2022,West,Office Supplies,Labels,426.12,5,0.47,1129.22
11/01/2018,South,Electronics,Phones,1286.87,3,0.31,2663.82
21/03/2019,North,Office Supplies,Storage,603.4,3,0.1,1629.18
08/05/2020,East,Furniture,Chairs,479.24,3,0.06,1351.46
21/08/2021,East,Electronics,Laptops,183.47,10,0.22,1431.07
06/08/2020,South,Office Supplies,Labels,792.18,1,0.09,720.88
05/09/2022,East,Electronics,Phones,678.57,4,0.43,1547.14
08/06/2019,South,Furniture,Chairs,1210.73,1,0.34,799.08
09/12/2018,West,Furniture,Tables,542.09,4,0.37,1366.07
31/03/2018,West,Office Supplies,Storage,831.32,9,0.31,5162.5
24/01/2021,East,Office Supplies,Storage,781.83,7,0.18,4487.7
03/10/2021,East,Furniture,Chairs,722.95,6,0.36,2776.13
04/10/2021,East,Electronics,Accessories,1244.83,4,0.51,2439.87
29/09/2022,North,Office Supplies,Labels,770.94,10,0.56,3392.14
26/08/2018,West,Furniture,Chairs,588.6,4,0.15,2001.24
24/12/2021,South,Furniture,Chairs,468.42,1,0.17,388.79
20/08/2021,South,Furniture,Chairs,651.7,9,0.29,4164.36
14/12/2022,East,Office Supplies,Labels,982.47,10,0.37,6189.56
19/06/2020,East,Office Supplies,Storage,524.98,4,0.42,1217.95
05/06/2022,North,Office Supplies,Storage,892.87,6,0.33,3589.34
28/05/2019,North,Furniture,Tables,703.42,5,0.01,3481.93
03/10/2020,South,Office Supplies,Art,807.67,7,0.17,4692.56
20/06/2018,East,Furniture,Chairs,462.49,1,0.11,411.62
04/08/2022,South,Electronics,Accessories,836.63,5,0.19,3388.35
23/08/2019,North,Furniture,Bookcases,461.52,9,0.22,3239.87
21/04/2018,East,Office Supplies,Art,908.71,2,0.24,1381.24
14/05/2022,North,Office Supplies,Storage,443.01,8,0.26,2622.62
15/05/2020,West,Office Supplies,Labels,889.69,9,0.21,6325.7
25/07/2018,North,Electronics,Phones,853.91,1,0.12,751.44
06/04/2018,South,Office Supplies,Storage,626.87,3,0.3,1316.43
03/10/2018,North,Office Supplies,Storage,690.25,7,0.2,3865.4
08/10/2022,East,Office Supplies,Labels,446.33,3,0.11,1191.7
24/05/2021,East,Furniture,Chairs,535.82,8,0.33,2872
28/05/2018,West,Office Supplies,Art,248.15,9,0.09,2032.35
25/04/2021,North,Office Supplies,Labels,820.16,1,0.55,369.07
25/04/2020,North,Furniture,Tables,733.62,4,0.39,1790.03
14/07/2021,West,Electronics,Phones,476.98,4,0.46,1030.28
20/05/2020,West,Furniture,Bookcases,950.46,8,0.26,5626.72
10/11/2020,West,Office Supplies,Art,339.99,5,0.17,1410.96
30/05/2020,North,Office Supplies,Storage,995.03,9,0.64,3223.9
15/11/2020,North,Electronics,Laptops,1334.76,9,0.05,11412.2
09/02/2019,West,Office Supplies,Art,817.95,7,0.19,4637.78
14/03/2021,West,Electronics,Laptops,550.95,3,0.29,1173.52
20/07/2019,West,Office Supplies,Storage,1166.37,6,0.28,5038.72
17/09/2018,North,Office Supplies,Art,385.66,5,0.38,1195.55
16/07/2018,South,Office Supplies,Art,685.81,6,0.38,2551.21
29/04/2022,West,Office Supplies,Art,397.3,2,0.33,532.38
17/01/2020,North,Electronics,Accessories,566.2,9,0.32,3465.14
08/02/2021,West,Office Supplies,Storage,1215.79,2,0.48,1264.42
03/10/2019,East,Furniture,Bookcases,382.5,9,0.15,2926.12
16/08/2021,North,Electronics,Accessories,657.73,1,0.28,473.57
02/08/2021,South,Office Supplies,Storage,855.36,5,0.26,3164.83
17/09/2019,South,Office Supplies,Storage,1684.51,3,0.2,4042.82
14/06/2021,South,Furniture,Tables,373.65,8,0.12,2630.5
12/07/2019,West,Electronics,Phones,1239.59,6,0.22,5801.28
19/02/2022,West,Furniture,Tables,1320.53,5,0.37,4159.67
20/10/2021,East,Electronics,Laptops,687.39,10,0.21,5430.38
11/04/2021,West,Office Supplies,Art,419.16,8,0.33,2246.7
08/03/2022,South,Office Supplies,Labels,671.3,8,0.29,3812.98
01/11/2019,East,Furniture,Tables,764.09,6,0.09,4171.93
03/12/2018,West,Furniture,Tables,455.31,8,0.05,3460.36
11/02/2018,East,Electronics,Phones,385.14,7,0.43,1536.71
18/12/2021,West,Furniture,Bookcases,468.99,6,0.13,2448.13
14/10/2020,South,Office Supplies,Art,593.37,3,0.48,925.66
06/07/2021,South,Office Supplies,Labels,759.18,7,0.17,4410.84
20/06/2022,South,Furniture,Tables,1290.71,6,0.01,7666.82
23/10/2020,South,Furniture,Bookcases,777.56,2,0.31,1073.03
10/09/2019,East,Electronics,Phones,669.95,6,0.24,3054.97
31/03/2019,North,Furniture,Bookcases,762.85,4,0.36,1952.9
30/11/2022,North,Office Supplies,Art,1000.51,4,0.09,3641.86
10/06/2020,South,Furniture,Bookcases,1038.45,6,0.5,3115.35
05/08/2022,North,Electronics,Phones,887.89,9,0.18,6552.63
25/02/2018,North,Furniture,Bookcases,490.49,9,0.08,4061.26
14/03/2022,South,Office Supplies,Storage,698.46,8,0.27,4079.01
29/10/2019,South,Office Supplies,Storage,956.99,7,0.24,5091.19
08/08/2021,South,Electronics,Accessories,550.33,1,0.22,429.26
20/09/2018,North,Electronics,Phones,515.65,3,0.38,959.11
05/12/2021,North,Office Supplies,Art,978.87,7,0.28,4933.5
31/05/2020,West,Electronics,Laptops,612.38,8,0.48,2547.5
16/01/2022,North,Furniture,Tables,1404.47,7,0.4,5898.77
14/02/2019,West,Electronics,Phones,575.83,3,0.25,1295.62
19/01/2022,North,Office Supplies,Storage,997.02,9,0.26,6640.15
09/10/2021,East,Electronics,Accessories,307.87,9,0.46,1496.25
14/07/2022,South,Furniture,Chairs,426.99,1,0.21,337.32
18/10/2022,North,Office Supplies,Art,826.51,4,0.15,2810.13
21/01/2021,North,Office Supplies,Labels,769.51,1,0.16,646.39
01/05/2022,North,Electronics,Phones,491.32,5,0.34,1621.36
15/09/2019,South,Electronics,Laptops,543.89,2,0.22,848.47
19/09/2022,South,Electronics,Phones,607.8,10,0.52,2917.44
26/11/2018,South,Electronics,Laptops,670.42,4,0.44,1501.74
07/08/2019,East,Furniture,Tables,546.43,2,0.79,229.5
31/03/2021,North,Electronics,Laptops,1077.12,9,0.15,8239.97
19/04/2020,South,Office Supplies,Art,393.98,1,0.66,133.95
14/07/2021,East,Electronics,Phones,316.34,2,0.25,474.51
24/07/2022,West,Electronics,Phones,855.92,9,0.48,4005.71
23/12/2019,East,Office Supplies,Art,631.7,7,0.04,4245.02
28/02/2019,South,Office Supplies,Art,961.3,1,0.47,509.49
19/12/2022,South,Furniture,Tables,344.94,7,0.27,1762.64
24/05/2022,West,Furniture,Chairs,768.87,6,0.28,3321.52
23/11/2020,North,Furniture,Chairs,323.68,2,0.08,595.57
29/07/2020,South,Electronics,Laptops,1289.55,4,0.15,4384.47
26/09/2021,West,Office Supplies,Storage,629.14,8,0.37,3170.87
24/12/2021,East,Furniture,Chairs,606.76,7,0.32,2888.18
16/06/2020,North,Office Supplies,Art,985.77,10,0,9857.7
28/03/2019,North,Office Supplies,Labels,584.27,3,0.36,1121.8
01/01/2022,South,Electronics,Phones,740.15,10,0.23,5699.15
05/11/2019,East,Electronics,Accessories,855.92,2,0.08,1574.89
06/03/2020,North,Electronics,Laptops,733.94,2,0.21,1159.63
21/12/2019,South,Furniture,Bookcases,483.65,4,0.33,1296.18
19/06/2018,West,Electronics,Laptops,570.89,3,0.09,1558.53
06/02/2020,East,Office Supplies,Art,353.43,2,0.26,523.08
23/05/2021,East,Electronics,Phones,266.75,2,0.26,394.79
24/09/2021,North,Electronics,Phones,630.7,10,0.6,2522.8
15/01/2020,East,Furniture,Bookcases,535.54,6,0.62,1221.03
08/04/2020,North,Furniture,Tables,632.56,7,0.31,3055.26
28/05/2022,East,Electronics,Accessories,1636.09,7,0.33,7673.26
19/05/2020,North,Furniture,Tables,887.84,2,0.46,958.87
23/06/2018,South,Furniture,Chairs,940.36,5,0.08,4325.66
03/01/2019,North,Furniture,Tables,286.86,10,0.36,1835.9
22/07/2022,North,Office Supplies,Art,681.21,9,0.35,3985.08
06/09/2022,South,Furniture,Bookcases,760.35,2,0.36,973.25
28/04/2021,East,Furniture,Chairs,731.66,2,0.15,1243.82
21/03/2019,North,Office Supplies,Labels,898.21,4,0.21,2838.34
17/12/2022,South,Electronics,Phones,668.94,4,0.19,2167.37
21/08/2018,South,Office Supplies,Storage,754.32,5,0.18,3092.71
27/06/2020,East,Furniture,Chairs,318.52,3,0.15,812.23
09/01/2020,North,Office Supplies,Art,815.51,3,0.44,1370.06
16/01/2018,South,Furniture,Chairs,718.16,6,0.62,1637.4
14/03/2022,South,Furniture,Tables,535.83,10,0.15,4554.56
28/09/2019,East,Furniture,Chairs,321.66,5,0.3,1125.81
13/10/2021,West,Electronics,Laptops,1067.6,2,0.19,1729.51
18/08/2021,South,Electronics,Accessories,583.99,2,0.35,759.19
03/06/2019,South,Furniture,Chairs,847.09,1,0.16,711.56
23/10/2020,East,Electronics,Accessories,728.57,9,0.18,5376.85
03/07/2021,West,Electronics,Accessories,976.18,10,0.12,8590.38
25/06/2018,North,Electronics,Accessories,1193.31,10,0.24,9069.16
21/05/2020,East,Office Supplies,Labels,493.99,5,0.18,2025.36
01/12/2020,West,Office Supplies,Art,850.82,1,0.12,748.72
24/02/2019,East,Electronics,Laptops,1040.36,2,0.33,1394.08
04/02/2021,West,Furniture,Tables,583.74,10,0.82,1050.73
22/09/2020,West,Electronics,Accessories,929.49,2,0.18,1524.36
18/12/2018,South,Office Supplies,Labels,898.62,10,0.05,8536.89
08/12/2020,South,Office Supplies,Labels,567.11,7,0.14,3414
30/08/2019,West,Electronics,Phones,817.54,1,0.35,531.4
22/09/2022,West,Furniture,Tables,522.24,7,0.15,3107.33
31/12/2021,North,Furniture,Chairs,806.58,9,0.69,2250.36
08/09/2019,South,Electronics,Phones,936.04,3,0.03,2723.88
13/07/2018,East,Electronics,Phones,440.99,2,0.18,723.22
20/06/2019,East,Office Supplies,Labels,549.32,4,0.12,1933.61
18/04/2019,West,Furniture,Tables,843.66,9,0.18,6226.21
02/06/2018,West,Electronics,Laptops,696.78,10,0.15,5922.63
01/04/2018,West,Electronics,Laptops,565.04,8,0.48,2350.57
04/09/2019,East,Office Supplies,Art,699.1,2,0.51,685.12
31/12/2018,West,Furniture,Bookcases,663.41,2,0.21,1048.19
25/11/2018,East,Electronics,Laptops,557.31,10,0.29,3956.9
15/09/2018,West,Electronics,Laptops,641.43,2,0.34,846.69
14/11/2018,North,Electronics,Laptops,1126.78,10,0.38,6986.04
25/07/2020,South,Furniture,Bookcases,947.83,7,0.27,4843.41
21/06/2020,South,Office Supplies,Storage,760.63,7,0.17,4419.26
08/12/2022,East,Furniture,Chairs,822.59,4,0.3,2303.25
15/08/2022,West,Electronics,Phones,865.98,9,0.13,6780.62
06/08/2019,East,Office Supplies,Art,800.09,1,0.32,544.06
16/03/2021,North,Furniture,Tables,702.09,3,0.47,1116.32
30/07/2019,East,Furniture,Tables,559.5,6,0.28,2417.04
15/12/2019,East,Furniture,Tables,717.26,4,0.14,2467.37
10/09/2018,West,Furniture,Chairs,418.87,1,0.23,322.53
15/09/2022,North,Office Supplies,Storage,919.34,9,0.26,6122.8
13/04/2020,East,Office Supplies,Storage,593,8,0.23,3652.88
13/01/2019,East,Furniture,Bookcases,898.59,5,0.22,3504.5
21/11/2018,South,Electronics,Laptops,272.77,9,0.63,908.32
07/12/2021,East,Furniture,Chairs,1044,6,0.45,3445.2
28/08/2021,West,Furniture,Chairs,1743.62,3,0.2,4184.69
24/02/2021,North,Electronics,Laptops,760.39,7,0.39,3246.87
04/11/2020,West,Office Supplies,Art,1611.44,9,0.43,8266.69
01/03/2022,East,Electronics,Phones,942.4,2,0.17,1564.38
27/09/2018,West,Office Supplies,Art,296.12,5,0.04,1421.38
09/07/2018,North,Furniture,Tables,1391.06,10,0.21,10989.37
01/06/2021,North,Electronics,Accessories,550.61,8,0.37,2775.07
29/08/2022,South,Furniture,Bookcases,915.78,2,0.13,1593.46
22/10/2021,East,Electronics,Phones,722.01,9,0.08,5978.24
19/05/2018,East,Office Supplies,Labels,515.23,7,0.23,2777.09
05/02/2021,West,Electronics,Phones,683.41,10,0.06,6424.05
07/12/2018,North,Office Supplies,Storage,337.52,4,0.4,810.05
