SaleDate,StoreID,ProductID,UnitsSold,Revenue
29/12/2020,1001,2005,7,43.9
18/12/2021,1002,2005,10,86.01
18/07/2021,1001,2014,3,14.68
16/07/2018,1003,2014,8,24.91
22/12/2020,1001,2012,6,35.09
10/07/2019,1002,2018,3,35.39
24/01/2019,1001,2018,3,15.65
05/11/2018,1004,2003,5,17.07
15/08/2018,1003,2019,3,18.38
21/07/2020,1005,2020,9,35.6
03/08/2020,1003,2015,5,27.34
05/04/2020,1001,2002,8,55.81
06/05/2020,1005,2002,7,62.72
03/01/2021,1001,2009,10,78.75
17/06/2020,1004,2008,3,12.69
15/02/2021,1005,2012,9,71.11
09/09/2021,1001,2019,3,12.44
12/09/2018,1002,2007,9,147.99
20/04/2021,1002,2010,8,79.11
12/03/2019,1003,2020,5,37.05
06/12/2019,1004,2006,8,43.75
09/11/2019,1002,2009,2,19.09
12/05/2022,1001,2020,5,50.06
22/04/2022,1001,2018,8,35.15
04/12/2019,1003,2009,3,21.97
08/04/2020,1005,2001,10,126.89
12/06/2022,1001,2020,7,57.4
14/08/2022,1005,2010,7,30.4
26/12/2019,1005,2010,8,48.24
21/06/2022,1005,2004,4,40.06
23/10/2020,1004,2005,1,9.77
24/04/2022,1004,2015,8,81.64
31/01/2018,1004,2015,3,25.81
11/04/2021,1002,2012,2,12.34
12/09/2019,1005,2013,5,30.83
12/04/2020,1005,2001,2,10.02
05/06/2020,1002,2009,4,19.76
18/10/2022,1005,2006,1,4.51
09/06/2021,1001,2014,3,23.8
03/12/2019,1001,2003,4,30.2
13/10/2018,1002,2003,4,39.7
19/11/2022,1003,2003,8,20.59
16/02/2021,1002,2007,8,45.43
07/12/2022,1002,2008,5,26.29
06/02/2022,1004,2007,5,47.38
22/01/2022,1004,2006,8,56.85
23/12/2022,1002,2020,9,37.29
01/04/2022,1005,2011,5,30.07
06/01/2022,1003,2013,8,68.67
30/10/2018,1001,2013,3,24.96
29/05/2019,1002,2008,2,12.67
22/06/2020,1004,2003,2,23.68
30/01/2021,1001,2005,10,41.57
08/06/2021,1005,2015,8,82.75
15/09/2020,1003,2014,6,86.11
10/03/2018,1005,2003,1,5.05
05/09/2020,1001,2012,1,5.06
01/08/2020,1002,2006,9,100.73
15/02/2019,1005,2015,2,12.84
05/01/2019,1001,2012,1,9.93
25/10/2019,1005,2001,6,62.87
06/02/2022,1005,2011,4,26.87
25/02/2020,1001,2005,10,99.57
11/07/2021,1003,2005,6,33.95
24/06/2020,1001,2005,9,83.55
04/10/2018,1005,2010,3,22.79
06/07/2022,1005,2001,10,86.31
11/11/2019,1004,2010,3,24.69
08/09/2021,1001,2017,1,6.77
24/06/2021,1003,2012,9,63.3
17/08/2018,1001,2017,3,24.52
04/05/2021,1005,2005,2,13.35
20/08/2022,1002,2014,4,25.75
24/04/2018,1003,2013,4,19.21
16/10/2022,1002,2003,8,29.42
14/10/2022,1004,2017,7,35.05
28/01/2021,1005,2012,5,38.95
12/01/2018,1004,2008,5,42.5
11/12/2020,1005,2004,5,44.7
08/06/2021,1002,2013,10,86.94
04/04/2020,1002,2007,9,52.52
28/06/2021,1001,2020,1,3.89
23/06/2022,1004,2013,8,77.05
15/10/2022,1003,2007,10,94.22
09/10/2019,1004,2019,4,42.45
16/02/2021,1001,2001,3,18.59
18/05/2020,1003,2011,1,5.13
18/04/2018,1004,2015,5,34.41
22/10/2020,1001,2002,4,25.54
30/12/2020,1001,2019,7,61.3
28/12/2022,1004,2011,2,5.34
05/11/2019,1005,2004,1,9.47
06/08/2018,1005,2001,5,25.5
17/12/2020,1005,2020,6,41.79
06/02/2021,1004,2010,5,42.65
03/07/2022,1005,2014,3,21.93
01/02/2018,1003,2012,7,32.54
29/04/2022,1005,2004,10,53.04
13/12/2022,1001,2017,9,109.66
08/03/2019,1001,2017,7,85.66
15/11/2020,1004,2016,5,17.72
08/10/2020,1005,2010,7,59.23
23/07/2019,1005,2008,1,8.23
10/07/2020,1004,2017,2,7.02
08/07/2022,1002,2008,1,5.13
01/11/2019,1002,2015,7,62.03
27/06/2022,1004,2009,2,11.97
16/11/2020,1001,2018,6,29.31
28/07/2018,1001,2007,5,29.08
16/03/2020,1002,2014,1,3.82
31/12/2018,1001,2016,8,22.09
11/07/2020,1001,2017,6,16.27
25/02/2020,1004,2008,8,53.87
04/09/2020,1001,2007,7,32.26
26/08/2022,1003,2015,9,75
27/05/2018,1004,2016,9,50.85
01/02/2020,1001,2003,2,12.98
25/08/2021,1001,2014,4,19.93
22/01/2022,1004,2019,7,24.68
23/10/2021,1003,2015,4,34.92
02/06/2021,1001,2019,2,9.67
14/07/2022,1001,2006,10,49.39
25/09/2018,1001,2020,6,58.59
13/09/2022,1003,2002,1,6.51
08/05/2021,1002,2006,9,40.96
06/01/2019,1005,2019,4,20.58
12/11/2022,1003,2005,2,9.74
15/11/2020,1004,2018,4,27.88
29/07/2021,1001,2006,3,18.06
24/08/2018,1002,2015,9,54.86
06/02/2020,1003,2003,8,69.09
29/10/2022,1005,2004,4,31.15
19/02/2018,1004,2015,7,63.66
01/09/2022,1004,2020,6,52.94
05/12/2020,1005,2012,8,40.51
01/02/2018,1002,2009,7,91.04
12/04/2019,1004,2008,8,77.56
25/01/2021,1005,2007,5,16.06
10/09/2020,1002,2013,5,52.28
19/07/2022,1003,2016,7,30.15
03/04/2020,1004,2012,2,9.46
23/05/2022,1004,2013,8,88.42
29/06/2020,1001,2006,3,19.73
26/07/2020,1001,2004,8,84.36
20/02/2020,1002,2008,10,139.07
26/04/2021,1003,2018,4,26.38
28/06/2021,1003,2005,6,30.75
21/01/2019,1002,2010,6,29.45
24/07/2020,1004,2019,1,6.06
14/09/2019,1002,2018,9,64.56
14/11/2018,1004,2017,8,55.24
24/11/2020,1005,2013,4,32.13
10/07/2019,1002,2010,5,32.91
23/05/2022,1001,2015,8,61.14
28/02/2022,1005,2019,3,29.12
25/03/2018,1003,2006,1,6.62
14/01/2020,1002,2008,4,22.74
24/01/2022,1002,2019,9,26.56
15/08/2021,1002,2009,6,89.15
23/06/2021,1004,2012,8,52.88
04/11/2018,1005,2006,3,23.75
10/04/2022,1003,2017,1,1.79
25/07/2020,1004,2007,9,99.55
26/02/2020,1004,2016,7,49.36
14/08/2019,1003,2012,6,55.22
22/07/2022,1003,2001,5,39.46
03/11/2020,1002,2001,9,46.42
27/02/2018,1003,2019,7,38.08
05/08/2022,1004,2014,2,20.34
30/01/2021,1001,2006,4,22.41
20/09/2020,1001,2016,5,21.06
10/12/2018,1002,2002,1,9.3
15/05/2021,1002,2015,7,41.52
22/03/2022,1004,2004,7,38.09
07/10/2021,1004,2013,2,18.31
16/10/2018,1001,2009,1,6.31
13/09/2020,1001,2020,5,33.54
12/02/2021,1003,2007,3,20.43
16/08/2021,1001,2007,5,31.54
29/07/2019,1005,2018,6,58.09
08/11/2021,1004,2006,10,93.19
20/03/2021,1001,2010,3,28.86
16/08/2021,1004,2015,5,31.04
07/07/2022,1005,2018,5,37.64
18/02/2020,1004,2016,10,70.23
09/12/2018,1002,2002,9,77.76
11/01/2021,1003,2011,6,44.21
30/08/2019,1003,2014,10,49.14
19/04/2020,1005,2013,5,36.23
12/07/2020,1003,2010,3,8.44
20/07/2018,1001,2019,9,104.49
22/06/2020,1005,2001,1,5.97
27/07/2019,1005,2004,7,50.73
27/11/2020,1002,2018,9,57.72
29/04/2022,1004,2008,10,80.22
29/04/2020,1005,2013,5,24
28/08/2022,1004,2003,2,7.46
16/09/2019,1001,2020,9,56.37
06/09/2018,1001,2003,10,54.65
06/12/2019,1005,2006,3,18.31
16/02/2019,1005,2008,1,7.48
19/11/2018,1002,2010,6,64.56
20/12/2019,1002,2010,8,94.51
18/02/2020,1003,2001,4,45.58
26/10/2018,1002,2004,6,44.03
31/05/2018,1005,2009,3,19.52
03/12/2021,1001,2015,2,11.2
04/02/2022,1004,2009,7,43.06
13/03/2022,1002,2005,3,15.68
16/08/2022,1002,2004,6,32.94
04/12/2018,1005,2004,6,66.45
09/08/2020,1003,2007,9,34.21
14/03/2022,1001,2020,8,52.5
25/06/2022,1004,2020,4,22.13
26/09/2022,1005,2005,2,17.16
05/11/2018,1001,2004,3,16.31
11/05/2019,1005,2017,2,13.07
24/12/2020,1001,2014,6,62.45
13/07/2022,1001,2008,9,96.42
25/10/2022,1004,2005,5,47.51
22/11/2019,1004,2004,2,10.69
09/12/2018,1005,2008,6,33.03
23/10/2018,1001,2001,4,32.98
07/12/2018,1001,2006,2,13.29
07/04/2021,1005,2017,3,29.22
14/06/2021,1005,2005,8,27.41
16/02/2020,1004,2002,2,18.15
24/02/2020,1004,2007,2,9.74
03/06/2018,1002,2002,7,33.63
10/01/2021,1003,2001,4,36.2
28/06/2018,1005,2018,9,39.26
19/12/2022,1003,2001,5,23.72
05/12/2018,1002,2016,8,36.42
18/09/2019,1003,2018,9,21.41
25/05/2021,1005,2006,4,26.37
19/08/2018,1002,2012,9,33.17
01/06/2022,1005,2011,9,51.13
18/06/2020,1004,2012,3,26.73
26/06/2018,1002,2016,7,38.69
07/05/2019,1002,2007,5,37.92
28/06/2021,1002,2003,7,42.64
19/04/2018,1005,2006,8,70.34
21/06/2021,1004,2018,9,80.63
21/12/2022,1005,2007,6,15.54
03/12/2022,1003,2019,8,79.63
15/11/2018,1004,2004,5,51.98
13/10/2018,1003,2020,8,98.73
27/04/2019,1002,2001,4,26.41
22/09/2020,1002,2005,2,15.6
08/04/2019,1004,2001,10,110.94
08/11/2020,1001,2009,4,19.36
27/02/2018,1003,2011,3,16.88
10/01/2019,1003,2010,6,27.18
02/05/2020,1005,2001,9,54.55
27/09/2020,1005,2001,5,19.32
06/03/2021,1005,2014,3,20.97
27/11/2018,1002,2007,1,20.23
07/12/2021,1005,2007,1,6.67
29/11/2019,1001,2002,7,66.47
24/02/2021,1001,2005,7,49.48
30/03/2019,1001,2019,7,28.04
25/07/2019,1005,2004,4,30.64
17/08/2020,1005,2016,7,49.56
19/06/2018,1003,2020,9,106.74
31/10/2022,1001,2008,7,30.27
11/10/2022,1005,2001,9,84.38
18/06/2021,1005,2003,3,17.8
20/03/2022,1005,2006,8,89.15
26/05/2018,1001,2017,9,58.74
15/01/2019,1005,2017,4,25.39
12/09/2018,1003,2002,3,36.35
22/01/2019,1004,2001,10,26.07
06/12/2018,1004,2009,7,52.02
14/07/2021,1005,2007,10,94.91
17/11/2021,1003,2005,3,46.78
07/01/2022,1002,2014,1,5.41
14/10/2022,1004,2016,6,50.65
16/09/2018,1001,2013,6,45.36
21/03/2022,1004,2011,2,19.31
24/04/2022,1004,2010,4,25.53
22/10/2021,1004,2010,6,26.29
12/10/2022,1005,2005,7,20.34
30/08/2019,1001,2011,10,57.4
15/07/2022,1002,2005,3,35.11
12/04/2019,1002,2013,2,18.96
03/02/2022,1003,2002,3,20.4
22/10/2020,1001,2004,9,82.91
22/07/2022,1004,2020,7,49.75
16/09/2021,1001,2016,8,63.47
22/10/2022,1004,2014,3,12.01
21/11/2020,1003,2019,10,48.81
07/03/2021,1005,2005,7,48.71
21/11/2021,1002,2020,4,16.63
25/02/2021,1002,2020,10,81.47
15/05/2019,1002,2018,2,14.83
12/05/2022,1003,2013,2,13.25
26/02/2019,1005,2011,2,6.38
10/12/2022,1002,2004,2,20.4
25/08/2020,1001,2010,1,7.03
12/01/2021,1004,2010,5,72.6
19/03/2022,1003,2001,2,14.02
21/09/2020,1004,2017,1,7.01
20/12/2021,1002,2018,1,9.87
31/12/2020,1004,2018,7,33.57
11/03/2018,1004,2011,4,28.92
24/10/2021,1004,2007,5,26.3
31/12/2019,1005,2015,7,56.94
16/05/2021,1003,2011,7,54.99
19/08/2020,1004,2015,3,19.16
22/03/2018,1003,2015,6,25.16
25/06/2022,1004,2003,2,15.62
06/02/2019,1003,2006,5,34.21
27/09/2022,1004,2010,9,64.7
28/05/2019,1004,2001,5,29.81
22/12/2020,1004,2001,8,57.15
11/10/2021,1002,2008,2,6.86
26/01/2021,1001,2006,5,29.45
15/01/2020,1001,2008,9,61.34
09/11/2022,1001,2003,9,77.39
13/03/2018,1004,2020,5,34.14
22/09/2020,1001,2020,4,22.74
07/02/2018,1001,2019,10,100.25
22/01/2022,1001,2015,10,111.73
28/11/2022,1002,2009,7,43.35
15/12/2021,1001,2003,4,36.55
30/09/2022,1004,2017,1,10.06
23/08/2020,1005,2014,3,13.34
10/07/2018,1004,2005,9,59.87
27/08/2019,1005,2003,3,25.36
04/03/2020,1003,2014,2,16.54
15/07/2019,1002,2002,6,27.43
31/07/2018,1001,2013,5,34.14
18/09/2018,1002,2015,10,36.7
18/06/2018,1001,2011,2,16.42
24/03/2021,1003,2004,3,11.22
26/04/2018,1002,2002,4,30.27
22/05/2020,1004,2003,10,72.13
11/02/2022,1001,2020,4,33.31
08/11/2022,1004,2020,7,41
05/10/2018,1001,2010,2,9.53
15/04/2021,1003,2011,3,19.59
17/05/2020,1002,2015,4,13.36
03/02/2022,1005,2019,4,31.26
22/09/2019,1003,2017,5,15.25
27/05/2020,1003,2016,5,44.33
26/03/2019,1005,2005,6,72.6
05/01/2021,1005,2008,4,19.91
11/05/2022,1001,2007,2,12.75
16/10/2022,1004,2006,5,65.19
08/06/2022,1004,2005,4,51.13
01/11/2022,1003,2010,1,11.07
07/05/2020,1005,2013,6,61.96
18/05/2019,1002,2010,3,15.45
28/03/2019,1005,2013,4,30.41
20/09/2019,1002,2017,7,35.25
16/10/2020,1003,2017,5,17.79
16/01/2019,1004,2015,3,24.29
08/02/2020,1002,2015,1,8.31
22/04/2021,1002,2009,6,57.13
17/05/2019,1004,2002,6,45.41
16/01/2020,1003,2018,1,11.38
18/06/2019,1004,2015,9,29.53
23/08/2020,1005,2011,7,54.91
11/02/2022,1002,2018,8,64.04
09/07/2021,1004,2013,5,51.25
02/04/2021,1001,2018,6,32.98
07/03/2022,1005,2019,8,33.67
31/01/2021,1004,2006,7,31.71
16/01/2018,1001,2008,2,14.94
17/03/2018,1002,2019,4,18.09
11/03/2018,1005,2002,7,62.23
04/07/2018,1002,2015,10,100.51
05/03/2020,1003,2013,1,6.98
21/11/2022,1001,2016,1,7.01
12/05/2019,1003,2008,2,12.8
08/07/2022,1003,2018,2,16.87
01/11/2019,1001,2015,10,67.54
22/09/2019,1003,2016,6,41.59
16/06/2018,1002,2016,10,87.93
12/02/2022,1003,2011,1,5.12
12/10/2019,1001,2015,6,16.94
16/02/2019,1005,2012,4,35.35
30/12/2019,1002,2016,7,29.32
11/06/2021,1001,2020,4,35.04
19/11/2021,1003,2020,10,40.94
13/04/2018,1005,2017,5,26.17
29/09/2022,1004,2015,3,32.65
24/04/2021,1001,2006,1,8
08/08/2022,1001,2002,10,92.8
06/10/2022,1001,2009,4,24.73
19/03/2018,1004,2012,9,135.92
14/01/2018,1003,2003,6,27.3
14/02/2018,1002,2013,7,50.69
25/10/2022,1005,2007,10,115.36
06/09/2020,1005,2007,5,29.22
09/12/2022,1001,2013,2,23.6
21/07/2018,1005,2016,2,10.06
25/12/2020,1004,2020,10,49.43
06/10/2022,1001,2020,5,22.6
20/08/2021,1003,2008,3,19.75
19/09/2022,1002,2002,1,10.48
29/01/2021,1004,2017,8,46.01
10/01/2020,1001,2019,5,15.1
30/04/2021,1004,2004,2,8.74
13/08/2021,1005,2009,9,49.95
27/10/2020,1002,2002,2,19.24
24/08/2019,1001,2012,8,73.93
23/02/2020,1002,2009,7,58.99
25/08/2021,1003,2008,5,50.64
14/01/2020,1002,2020,5,21.62
16/10/2019,1001,2005,3,10.7
21/03/2021,1002,2002,10,69.95
21/01/2020,1001,2011,2,15.16
07/12/2018,1002,2013,10,66.01
21/07/2018,1003,2008,7,68.76
03/11/2018,1001,2019,5,39.24
24/01/2022,1001,2006,1,4.1
15/08/2021,1002,2012,10,46.68
25/01/2019,1004,2013,2,11.42
16/11/2022,1003,2005,8,27.73
19/02/2020,1003,2006,3,25.41
14/02/2018,1002,2017,7,63.34
09/09/2018,1003,2012,1,6.01
27/11/2021,1003,2014,2,8.52
11/11/2022,1004,2006,9,35.24
09/11/2022,1002,2015,5,54.69
03/01/2020,1004,2008,2,13.91
24/09/2018,1002,2001,1,7.4
27/10/2021,1002,2009,2,8.07
15/04/2019,1001,2017,6,27.65
23/07/2019,1002,2007,5,47.97
30/09/2022,1003,2004,8,51.53
17/10/2019,1003,2013,4,34.19
19/11/2018,1003,2012,7,61.28
13/10/2019,1002,2017,9,125.64
16/07/2018,1003,2016,8,48.39
31/07/2018,1002,2005,8,65.27
16/08/2021,1003,2020,1,8.01
05/05/2020,1003,2008,10,54.17
05/03/2019,1002,2017,1,7.36
21/09/2020,1003,2020,8,52.12
16/07/2018,1005,2007,10,54.09
14/07/2019,1001,2002,8,71.1
25/07/2020,1001,2006,2,20.07
12/08/2018,1001,2005,4,26.07
08/06/2019,1003,2018,7,42.05
21/02/2018,1004,2008,9,54.98
25/07/2018,1003,2003,9,69.99
15/04/2019,1005,2010,4,31.34
23/09/2018,1003,2009,9,76.48
08/12/2021,1003,2015,9,46.37
28/04/2018,1003,2001,7,64.8
12/01/2019,1002,2016,6,20.31
06/07/2021,1005,2014,6,32.26
05/09/2018,1001,2020,7,34.5
10/08/2019,1004,2016,3,12.01
18/07/2020,1002,2002,6,63.64
03/03/2022,1002,2002,2,9.32
30/03/2020,1004,2002,2,8.67
06/07/2022,1002,2010,4,28.84
19/04/2020,1001,2009,1,7.32
15/11/2021,1002,2009,5,37.34
28/05/2022,1001,2009,2,8.87
26/06/2021,1001,2009,2,22.08
06/11/2018,1005,2002,8,76.29
15/09/2018,1003,2015,6,26.11
28/07/2022,1002,2014,7,41.24
26/05/2018,1005,2005,3,13.52
25/06/2020,1004,2013,8,65.21
13/05/2019,1005,2005,3,8.43
08/03/2020,1001,2003,5,28.69
05/08/2021,1005,2008,2,13.64
03/04/2018,1001,2008,2,8.73
02/08/2018,1001,2004,2,17.61
30/03/2022,1003,2011,5,26.48
23/02/2020,1005,2018,6,38.78
05/07/2018,1003,2009,3,20.99
10/02/2021,1005,2017,3,37.49
14/10/2020,1005,2014,7,42.31
16/06/2022,1001,2011,9,161.8
10/02/2022,1004,2002,7,25.57
21/06/2020,1001,2004,2,18.31
19/02/2022,1004,2003,7,55.52
30/08/2019,1004,2004,9,51.98
03/02/2021,1004,2016,1,6.28
02/12/2018,1003,2005,10,63.79
15/08/2019,1002,2016,9,32.95
08/08/2021,1005,2020,5,24.2
16/09/2022,1005,2020,3,31.13
21/04/2018,1003,2009,4,20.04
03/12/2018,1001,2013,3,22.8
12/06/2022,1001,2009,7,35.53
29/09/2018,1002,2018,3,11.4
15/05/2022,1005,2009,7,30.07
24/08/2022,1001,2001,1,2.39
30/05/2019,1005,2002,4,31.09
09/12/2021,1003,2012,9,68.64
23/08/2018,1005,2010,9,61.82
06/09/2020,1004,2017,9,43.4
10/11/2018,1003,2015,8,45.95
10/04/2019,1005,2011,1,5.51
24/10/2020,1001,2004,3,10.43
03/06/2018,1002,2006,8,85.69
14/01/2021,1004,2011,1,7.14
24/10/2019,1004,2007,1,7.76
30/10/2018,1004,2002,8,34.12
27/09/2019,1002,2005,10,48.52
16/03/2018,1005,2010,6,32.56
17/03/2021,1004,2015,9,30.21
01/09/2020,1004,2010,4,24.07
03/10/2018,1001,2008,1,4.9
12/03/2021,1002,2012,8,55.74
20/04/2022,1003,2017,6,46.18
30/09/2021,1003,2010,2,13.8
13/11/2018,1004,2003,10,59.67
23/12/2022,1004,2016,5,61
05/08/2021,1001,2007,4,23.85
23/08/2018,1004,2010,7,44.69
20/07/2021,1002,2006,6,31.28
10/07/2019,1002,2016,3,36.72
19/05/2022,1002,2019,4,41.93
11/09/2018,1004,2013,4,38.91
15/10/2022,1003,2006,1,4.45
09/08/2020,1004,2018,8,33.06
11/10/2022,1005,2014,3,24.82
23/01/2021,1005,2019,4,40.63
04/10/2018,1002,2016,5,15.64
03/06/2018,1001,2002,8,72.79
18/05/2018,1003,2008,6,21.62
