HireDate,TerminationDate,JobTitle,Department,Salary,Gender
20/02/2019,09/06/2022,Data Scientist,Design,39561.93,Male
10/06/2022,25/06/2022,Marketing Manager,Data Science,32829.26,Female
23/12/2019,25/07/2020,Product Manager,Data Science,86235.43,Male
12/02/2018,10/06/2022,Data Scientist,Marketing,28678.66,Male
02/04/2018,24/01/2021,Data Scientist,Sales,63863.16,Female
29/07/2019,08/06/2022,Designer,Sales,75490.35,Female
16/04/2020,30/07/2020,Designer,Data Science,56117.52,Female
25/05/2019,27/10/2020,Software Engineer,Marketing,29810.6,Male
04/07/2020,30/10/2021,Data Scientist,Human Resources,40106.7,Female
24/09/2018,25/05/2020,Product Manager,Human Resources,44867.57,Female
13/08/2021,22/08/2022,Human Resources,Data Science,93691.38,Female
30/08/2022,07/10/2022,Data Scientist,Human Resources,41638.09,Male
06/05/2018,13/11/2018,Human Resources,Marketing,54979.51,Male
08/11/2022,18/12/2022,Sales Representative,Human Resources,91920.68,Female
28/09/2020,04/02/2022,Designer,Data Science,39304.94,Female
27/05/2018,26/09/2020,Designer,Product,93343.7,Female
03/05/2020,04/08/2020,Marketing Manager,Human Resources,61338.75,Male
06/06/2022,26/08/2022,Marketing Manager,Product,78343.83,Female
24/10/2020,23/03/2021,Data Scientist,Design,88856.69,Female
21/03/2019,17/04/2019,Product Manager,Human Resources,81628.85,Female
27/02/2022,06/03/2022,Human Resources,Data Science,44459.72,Female
08/05/2020,22/05/2020,Designer,Design,92098.3,Female
11/12/2022,16/12/2022,Designer,Product,67022.91,Male
03/06/2021,18/09/2021,Marketing Manager,Human Resources,73166.74,Male
03/08/2018,16/05/2019,Marketing Manager,Sales,147364.89,Female
25/12/2020,02/07/2022,Sales Representative,Data Science,63572.47,Male
04/02/2021,19/06/2022,Data Scientist,Engineering,58503.07,Male
21/02/2018,20/07/2018,Sales Representative,Human Resources,56414.44,Male
23/01/2022,01/07/2022,Designer,Data Science,147448.1,Female
28/07/2018,06/09/2021,Designer,Sales,82444.53,Male
03/05/2019,05/03/2021,Sales Representative,Engineering,61919.59,Female
10/06/2019,13/02/2020,Marketing Manager,Sales,31078.44,Male
16/12/2020,22/01/2022,Software Engineer,Engineering,52477.43,Female
11/04/2022,07/09/2022,Designer,Human Resources,102158.07,Female
29/04/2020,11/09/2021,Sales Representative,Engineering,35554.13,Male
21/04/2021,30/07/2022,Human Resources,Marketing,107088.01,Male
14/07/2022,28/12/2022,Marketing Manager,Engineering,85566.48,Male
25/03/2022,12/11/2022,Human Resources,Product,106559.57,Female
04/12/2018,23/11/2019,Software Engineer,Engineering,72099.38,Female
12/08/2021,09/05/2022,Marketing Manager,Product,60152.45,Male
02/10/2019,12/09/2022,Designer,Marketing,89617.79,Female
20/02/2020,19/09/2020,Data Scientist,Engineering,87253.08,Male
19/07/2018,26/09/2019,Sales Representative,Product,58189.59,Female
01/12/2022,20/12/2022,Software Engineer,Design,82087.74,Male
25/11/2021,07/04/2022,Human Resources,Product,50334.55,Female
25/12/2019,28/02/2020,Marketing Manager,Sales,41289.19,Male
01/06/2020,18/02/2022,Product Manager,Design,41702.36,Male
07/08/2019,23/03/2021,Designer,Sales,80183.42,Female
05/03/2020,06/12/2022,Human Resources,Sales,81385.7,Male
28/08/2019,24/10/2020,Data Scientist,Marketing,110445.55,Male
13/03/2019,06/05/2022,Designer,Marketing,76039.57,Female
03/07/2018,30/04/2022,Data Scientist,Engineering,138226.33,Male
02/02/2021,08/06/2022,Human Resources,Marketing,106800.84,Male
20/03/2019,04/04/2021,Product Manager,Engineering,64852.16,Male
17/02/2020,30/08/2021,Product Manager,Marketing,85504.56,Female
30/05/2022,08/09/2022,Marketing Manager,Sales,67529.21,Female
03/06/2021,04/12/2022,Sales Representative,Marketing,56191.12,Female
25/12/2019,13/08/2022,Data Scientist,Marketing,34832.7,Male
08/12/2018,10/11/2019,Product Manager,Design,108545.01,Male
28/10/2020,29/01/2022,Data Scientist,Engineering,39117.26,Male
11/06/2019,31/05/2021,Product Manager,Data Science,60343.02,Female
31/12/2021,22/04/2022,Human Resources,Data Science,33822.33,Female
08/06/2020,09/06/2020,Sales Representative,Design,101772.19,Male
25/09/2020,03/10/2021,Product Manager,Engineering,57913.92,Female
15/04/2022,04/06/2022,Human Resources,Human Resources,83359.77,Female
13/09/2019,22/11/2019,Designer,Engineering,101627.98,Female
01/01/2021,25/02/2022,Software Engineer,Sales,49668.25,Female
26/11/2018,20/10/2019,Data Scientist,Design,55343.92,Male
10/02/2021,04/07/2021,Software Engineer,Engineering,75174.02,Male
28/01/2020,16/12/2022,Marketing Manager,Data Science,57396.71,Female
02/07/2022,21/11/2022,Human Resources,Engineering,27581.66,Female
15/07/2018,06/10/2021,Software Engineer,Sales,71201.41,Female
03/03/2021,03/10/2022,Product Manager,Engineering,115574.72,Male
28/01/2022,05/12/2022,Marketing Manager,Marketing,45859.6,Female
20/10/2021,06/04/2022,Marketing Manager,Engineering,68833.34,Female
25/07/2019,08/05/2022,Designer,Marketing,57007.13,Male
09/09/2019,01/10/2020,Designer,Engineering,96345.01,Male
20/06/2020,06/04/2022,Marketing Manager,Engineering,55053.57,Female
06/07/2019,10/04/2020,Human Resources,Human Resources,127325.1,Female
03/09/2019,07/04/2021,Data Scientist,Human Resources,89179.73,Female
02/12/2022,06/12/2022,Product Manager,Marketing,93068,Female
25/04/2018,26/02/2020,Data Scientist,Design,46646.51,Female
10/03/2018,21/11/2021,Data Scientist,Sales,96931.23,Female
19/07/2018,23/06/2022,Data Scientist,Product,69321.42,Female
19/06/2019,06/05/2020,Data Scientist,Engineering,40180.42,Male
14/05/2019,30/09/2020,Marketing Manager,Product,100853.47,Male
17/05/2021,18/09/2021,Data Scientist,Data Science,71635.63,Female
30/11/2018,01/08/2021,Marketing Manager,Engineering,90171.89,Female
17/08/2018,08/05/2021,Marketing Manager,Product,75957.8,Female
19/06/2018,29/08/2021,Marketing Manager,Human Resources,80146.91,Male
19/02/2021,02/01/2022,Designer,Data Science,38528.3,Female
11/07/2018,03/04/2021,Sales Representative,Marketing,66208.18,Female
18/04/2020,09/01/2022,Software Engineer,Data Science,68138.69,Female
09/09/2021,27/02/2022,Designer,Sales,58239.1,Female
27/11/2019,15/03/2021,Software Engineer,Marketing,74256.68,Female
18/12/2020,14/01/2021,Software Engineer,Data Science,72732.29,Male
10/09/2018,02/05/2022,Human Resources,Human Resources,41523.4,Female
24/10/2020,31/05/2022,Software Engineer,Design,73453.39,Female
17/08/2020,05/08/2021,Data Scientist,Design,36484.81,Female
02/04/2019,29/04/2019,Software Engineer,Marketing,42180.47,Female
03/01/2021,22/12/2022,Human Resources,Data Science,73277.09,Female
10/05/2022,14/09/2022,Sales Representative,Data Science,22529.49,Female
12/02/2021,26/08/2022,Marketing Manager,Sales,84827.3,Female
30/07/2020,26/12/2021,Marketing Manager,Human Resources,24216.33,Female
22/05/2019,15/04/2022,Human Resources,Design,74019.51,Male
08/01/2018,21/11/2019,Sales Representative,Design,104492.93,Female
28/02/2018,25/05/2020,Marketing Manager,Design,108191.61,Female
16/03/2020,24/06/2022,Sales Representative,Product,89439.75,Female
27/06/2019,29/06/2021,Product Manager,Human Resources,73856.26,Female
10/06/2019,31/12/2021,Data Scientist,Data Science,50131.25,Female
15/08/2019,20/12/2021,Software Engineer,Product,42975.06,Female
13/05/2019,30/09/2021,Designer,Product,34651.3,Male
16/06/2019,08/08/2020,Sales Representative,Sales,62642.04,Male
06/03/2018,04/01/2022,Product Manager,Product,24999.65,Female
09/11/2018,13/03/2019,Product Manager,Marketing,95439.04,Female
12/06/2020,10/08/2020,Designer,Data Science,116298.4,Female
09/11/2022,19/11/2022,Marketing Manager,Sales,53406.64,Male
27/01/2019,22/05/2019,Sales Representative,Human Resources,120957.09,Female
31/05/2020,09/04/2022,Human Resources,Data Science,78948.15,Female
10/11/2018,18/08/2020,Data Scientist,Sales,30952.92,Female
29/03/2021,16/06/2021,Product Manager,Sales,113508.53,Female
06/02/2021,04/01/2022,Product Manager,Marketing,77088.22,Female
16/07/2022,11/09/2022,Designer,Data Science,79666.76,Female
31/03/2018,08/12/2019,Data Scientist,Human Resources,61036.33,Male
27/04/2022,24/06/2022,Human Resources,Data Science,76850.66,Female
06/02/2020,17/09/2020,Sales Representative,Design,102584.47,Female
23/12/2018,14/07/2022,Human Resources,Design,38671.89,Male
11/02/2019,08/11/2019,Human Resources,Marketing,34712.18,Female
26/07/2020,11/01/2022,Human Resources,Data Science,87071.68,Male
26/05/2022,22/11/2022,Marketing Manager,Product,153614.92,Male
27/05/2018,02/10/2020,Product Manager,Product,73442.28,Female
25/01/2018,07/10/2018,Sales Representative,Sales,54338.89,Male
20/07/2019,15/09/2019,Product Manager,Product,89591.54,Male
11/10/2018,03/01/2021,Designer,Marketing,77737.73,Male
13/01/2022,03/08/2022,Human Resources,Marketing,71873.09,Female
02/03/2018,07/02/2020,Data Scientist,Human Resources,78140.35,Female
03/11/2018,04/11/2018,Human Resources,Sales,65322.16,Male
25/10/2018,15/09/2021,Human Resources,Human Resources,139658.97,Male
26/04/2019,23/07/2021,Software Engineer,Engineering,38333.5,Female
03/11/2019,29/03/2022,Human Resources,Marketing,72037.34,Male
26/02/2018,30/12/2021,Software Engineer,Human Resources,69429.83,Female
27/03/2021,01/08/2022,Product Manager,Product,28336.46,Male
31/10/2019,01/04/2022,Designer,Human Resources,46407.52,Male
14/04/2020,19/02/2021,Data Scientist,Marketing,62598.03,Male
23/01/2021,25/08/2021,Software Engineer,Sales,69220.89,Male
12/02/2018,29/12/2019,Product Manager,Product,115933.52,Male
25/09/2018,19/02/2022,Sales Representative,Sales,51041.89,Female
12/08/2021,08/08/2022,Product Manager,Sales,88072.03,Male
26/08/2018,22/08/2022,Designer,Human Resources,101038.78,Female
06/10/2020,24/05/2021,Product Manager,Data Science,112786.58,Male
16/11/2019,21/11/2022,Human Resources,Data Science,104224.91,Male
14/02/2020,18/02/2022,Marketing Manager,Design,116214.91,Male
29/03/2018,01/10/2020,Marketing Manager,Marketing,40922.63,Female
18/11/2022,25/11/2022,Product Manager,Marketing,34087.55,Male
03/08/2021,08/07/2022,Data Scientist,Data Science,21967.41,Female
07/04/2022,21/11/2022,Data Scientist,Human Resources,36452.89,Female
02/01/2020,21/07/2021,Human Resources,Product,32142.92,Male
24/04/2022,22/09/2022,Designer,Design,38927.17,Male
14/12/2019,06/11/2020,Human Resources,Product,49568.92,Female
15/08/2019,23/10/2021,Human Resources,Data Science,100864.71,Female
27/02/2021,17/12/2022,Software Engineer,Data Science,107777.3,Female
25/09/2022,01/10/2022,Software Engineer,Design,50391.07,Female
15/10/2018,02/09/2020,Data Scientist,Data Science,161567.14,Female
27/12/2021,27/11/2022,Data Scientist,Human Resources,64946.43,Male
30/04/2018,25/02/2022,Software Engineer,Marketing,33284.08,Male
22/11/2020,14/09/2022,Marketing Manager,Sales,80005.45,Male
08/01/2019,11/12/2021,Software Engineer,Product,83895.94,Female
24/06/2018,24/02/2022,Designer,Sales,146341.44,Female
17/02/2018,17/06/2022,Product Manager,Design,42543.17,Male
25/08/2018,27/02/2021,Sales Representative,Product,92775.9,Male
08/12/2020,12/08/2022,Marketing Manager,Marketing,107673.71,Male
26/02/2020,02/03/2022,Marketing Manager,Marketing,106748.18,Male
07/08/2020,05/01/2022,Sales Representative,Marketing,29957.56,Female
05/05/2019,04/01/2020,Marketing Manager,Product,48634.42,Male
19/02/2020,01/03/2022,Data Scientist,Data Science,47803.22,Female
24/12/2021,28/07/2022,Sales Representative,Marketing,25915.82,Male
07/06/2020,16/07/2021,Data Scientist,Marketing,88769.07,Male
29/05/2018,16/01/2022,Designer,Sales,70623.34,Female
21/09/2022,30/12/2022,Sales Representative,Data Science,108542.44,Male
12/05/2022,28/10/2022,Designer,Product,77741.14,Female
02/05/2020,19/10/2020,Software Engineer,Product,107483.69,Female
02/02/2018,12/04/2018,Marketing Manager,Human Resources,29274.68,Male
21/05/2019,07/01/2020,Data Scientist,Product,72613.76,Male
19/09/2022,22/12/2022,Designer,Design,99298.36,Male
03/04/2019,14/03/2021,Data Scientist,Sales,36226.09,Male
01/07/2020,22/07/2021,Sales Representative,Engineering,42039.01,Male
17/09/2022,15/12/2022,Product Manager,Product,54592.72,Female
22/01/2020,16/03/2021,Human Resources,Sales,53531.64,Female
11/11/2022,11/11/2022,Human Resources,Engineering,76144.72,Female
04/09/2021,24/05/2022,Human Resources,Marketing,53745.9,Male
24/07/2019,28/11/2020,Software Engineer,Human Resources,79815.25,Male
03/03/2019,10/09/2021,Human Resources,Data Science,79245.47,Female
15/04/2019,09/02/2020,Human Resources,Marketing,54502.48,Female
28/10/2022,26/11/2022,Software Engineer,Sales,89111.19,Female
07/06/2018,25/01/2021,Product Manager,Marketing,107651.3,Female
15/11/2022,22/12/2022,Software Engineer,Sales,140852.32,Male
08/12/2021,13/01/2022,Sales Representative,Design,79772.73,Male
01/03/2020,20/10/2020,Human Resources,Engineering,50221.39,Male
22/09/2022,12/12/2022,Data Scientist,Design,109610.11,Female
11/10/2020,09/03/2021,Human Resources,Data Science,38144.15,Male
16/08/2022,25/11/2022,Human Resources,Human Resources,49099.41,Male
21/06/2022,23/07/2022,Product Manager,Product,83143.2,Female
02/04/2019,24/04/2020,Data Scientist,Sales,74925.52,Female
01/10/2020,08/10/2022,Product Manager,Design,50598.32,Male
21/01/2020,17/02/2022,Product Manager,Sales,50754.61,Male
05/03/2020,05/09/2021,Designer,Human Resources,61117.1,Male
23/12/2022,25/12/2022,Data Scientist,Design,41031.64,Female
21/06/2019,13/06/2022,Software Engineer,Product,58341.51,Female
29/06/2021,26/08/2022,Marketing Manager,Design,76940.65,Male
30/04/2021,18/09/2021,Designer,Product,54018.27,Male
29/08/2022,01/09/2022,Product Manager,Engineering,68407.98,Male
07/08/2018,04/09/2019,Product Manager,Human Resources,39214.36,Male
11/01/2018,25/02/2020,Software Engineer,Sales,90603.37,Male
24/03/2020,19/07/2020,Product Manager,Human Resources,110320.51,Male
22/01/2020,15/05/2022,Software Engineer,Human Resources,77651.4,Male
12/08/2018,31/08/2021,Designer,Human Resources,52788.84,Male
14/07/2021,21/06/2022,Marketing Manager,Marketing,84720.39,Female
22/03/2022,25/09/2022,Human Resources,Sales,48231.37,Male
07/09/2018,29/01/2019,Designer,Design,79973.83,Female
02/05/2019,25/09/2020,Sales Representative,Data Science,42435.37,Male
02/09/2022,06/11/2022,Data Scientist,Sales,54584.41,Female
17/07/2021,28/09/2021,Marketing Manager,Product,61192.26,Female
22/04/2022,08/12/2022,Human Resources,Product,82806.49,Male
01/11/2018,08/12/2019,Software Engineer,Data Science,45167,Female
21/08/2020,21/02/2022,Data Scientist,Marketing,107032.72,Female
16/10/2019,09/04/2021,Designer,Design,92029.77,Male
21/01/2021,23/11/2021,Designer,Product,60528.74,Female
27/01/2022,09/05/2022,Human Resources,Product,38961.31,Male
07/04/2020,24/07/2020,Data Scientist,Sales,76861.66,Female
27/01/2021,01/09/2021,Product Manager,Human Resources,33768.17,Female
28/10/2020,19/10/2022,Designer,Engineering,59879.83,Female
04/06/2018,16/09/2021,Data Scientist,Engineering,73626.86,Female
09/12/2020,05/09/2022,Designer,Design,94921.49,Male
05/02/2019,23/04/2022,Sales Representative,Product,64886.37,Female
19/02/2018,12/05/2018,Marketing Manager,Sales,84921.54,Female
28/02/2022,05/03/2022,Data Scientist,Design,73773.37,Female
07/08/2022,11/09/2022,Marketing Manager,Design,37475.27,Female
02/02/2019,23/04/2020,Product Manager,Product,44138.5,Female
29/01/2019,27/04/2022,Sales Representative,Product,51271.06,Male
17/03/2019,29/07/2019,Human Resources,Design,136149.8,Male
15/01/2019,07/10/2019,Human Resources,Design,72233.05,Female
15/06/2019,09/08/2021,Product Manager,Marketing,86188.05,Female
23/05/2018,29/06/2022,Software Engineer,Human Resources,103388.83,Male
26/02/2020,20/05/2021,Data Scientist,Marketing,54496.51,Male
28/03/2020,15/10/2020,Data Scientist,Engineering,40394.75,Male
10/08/2019,15/09/2020,Software Engineer,Human Resources,59236.38,Female
